id,programa,semestre,edad,uso_R_antes,horas_estudio_semana,transporte,nota_estadistica
102,Ingeniería Civil,2,16,No,10.5,TransMilenio,3.6
103,Ingeniería Civil,1,17,Sí,18.3,TransMilenio,4.2
104,Estadística,6,21,Sí,7.6,TransMilenio,4.1
105,Ingeniería Eléctrica,5,19,Sí,11.5,SITP,3.1
106,Ingeniería Mecánica,2,18,No,5.6,TransMilenio,3.0
107,Ingeniería Industrial,5,22,No,9.8,TransMilenio,3.3
108,Ingeniería Mecánica,2,18,No,5.6,Otro,2.9
109,Ingeniería Industrial,1,17,No,10.4,SITP,3.9
110,Ingeniería Industrial,6,22,No,9.9,Bicicleta,4.1
111,Estadística,3,19,Sí,10.1,TransMilenio,4.3
112,Estadística,3,17,No,17.7,Otro,4.7
113,Ingeniería Mecánica,3,16,Sí,8.2,Bicicleta,4.3
114,Ingeniería de Sistemas,6,21,No,7.4,TransMilenio,3.1
115,Ingeniería de Sistemas,3,19,Sí,8.4,SITP,2.9
116,Ingeniería Civil,3,18,No,6.4,SITP,3.9
117,Ingeniería de Sistemas,1,16,No,10.0,TransMilenio,3.8
118,Ingeniería Industrial,3,20,No,7.7,TransMilenio,3.2
119,Ingeniería Mecánica,2,20,Sí,15.1,A pie,4.4
120,Ingeniería Eléctrica,3,17,No,7.3,TransMilenio,3.5
